latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
7.45856,81.64819,334.63,0.52,0.42,2026-09-01,750,N,VIIRS,l,2.0NRT,303.56,6.24,D
7.63038,81.58308,335.51,0.52,0.42,2026-09-01,750,N,VIIRS,l,2.0NRT,305.32,6.87,D
7.6342,81.58244,344.19,0.52,0.42,2026-09-01,750,N,VIIRS,n,2.0NRT,304.4,6.87,D
7.7604,81.24961,340.95,0.54,0.42,2026-09-01,750,N,VIIRS,n,2.0NRT,309.62,10.62,D
7.78377,80.22298,339.76,0.42,0.45,2026-09-01,750,N,VIIRS,n,2.0NRT,293.66,2.66,D
7.78867,80.81643,342.48,0.38,0.44,2026-09-01,750,N,VIIRS,n,2.0NRT,302.57,4.63,D
7.79142,81.55624,333.11,0.52,0.42,2026-09-01,750,N,VIIRS,l,2.0NRT,304.23,6.01,D
7.85497,80.34256,338.68,0.41,0.45,2026-09-01,750,N,VIIRS,n,2.0NRT,296.96,4.45,D
7.86408,81.44665,348.6,0.53,0.42,2026-09-01,750,N,VIIRS,n,2.0NRT,303.81,9.12,D
7.86625,81.44823,343.45,0.53,0.42,2026-09-01,750,N,VIIRS,n,2.0NRT,304.19,9.31,D
7.8685,81.43804,334.4,0.53,0.42,2026-09-01,750,N,VIIRS,n,2.0NRT,303.13,4.72,D
7.90392,80.63752,333.93,0.39,0.44,2026-09-01,750,N,VIIRS,n,2.0NRT,299.19,1.99,D
7.94456,81.37131,332.56,0.53,0.42,2026-09-01,750,N,VIIRS,l,2.0NRT,304.36,3.65,D
7.94534,81.37614,337.02,0.53,0.42,2026-09-01,750,N,VIIRS,n,2.0NRT,303.27,3.65,D
7.94756,81.31615,343.2,0.54,0.42,2026-09-01,750,N,VIIRS,n,2.0NRT,304.45,8.89,D
7.94843,81.31799,338.51,0.54,0.42,2026-09-01,750,N,VIIRS,n,2.0NRT,303.64,9.05,D
7.95932,80.72301,331.21,0.39,0.44,2026-09-01,750,N,VIIRS,n,2.0NRT,300.94,4.06,D
7.96034,80.72224,330.53,0.39,0.44,2026-09-01,750,N,VIIRS,l,2.0NRT,300.93,3.5,D
