event_id,brightness,frp,confidence,day_night,distance_to_industrial,distance_to_refinery,distance_to_powerplant,distance_to_mine,distance_to_gas_facility,distance_to_road,near_industrial_facility,near_refinery,near_powerplant,near_mine,near_gas_facility,forest_pct,cropland_pct,grassland_pct,builtup_pct,water_pct,detections_7d,detections_30d,detections_90d,mean_frp_30d,max_frp_30d,mean_brightness_30d,days_active_30d,persistence_score,frp_deviation,frp_ratio,brightness_deviation,brightness_ratio,osm_query_status,data_quality_flags,candidate_label,verified_label,verification_status
FIRMS_F1CF826EE2,336.96,6.48,,day,,,,,,0.7698,0.0,0.0,,,,26.05,70.69,3.0,0.26,0.0,0,0,0,,,,0,0.0,,,,,industrial:not_found; refinery:not_found; powerplant:query_failed; mine:query_failed; gas_facility:query_failed; road:ok,osm_partial_failure,,,data_invalid
FIRMS_273060E48D,338.33,7.03,,day,,,,,,0.4737,,,,0.0,0.0,27.6,57.09,13.45,0.27,1.35,0,0,0,,,,0,0.0,,,,,industrial:query_failed; refinery:query_failed; powerplant:query_failed; mine:not_found; gas_facility:not_found; road:ok,osm_partial_failure,,,data_invalid
FIRMS_14A6B49D01,330.46,6.81,,day,,,,,,0.4204,0.0,0.0,,0.0,,41.3,45.63,11.92,0.06,0.58,0,0,0,,,,0,0.0,,,,,industrial:not_found; refinery:not_found; powerplant:query_failed; mine:not_found; gas_facility:query_failed; road:ok,osm_partial_failure,,,data_invalid
FIRMS_1AD8520576,367.0,11.04,,day,,,,,,0.3308,0.0,0.0,0.0,,,10.36,80.68,8.63,0.31,0.0,0,0,0,,,,0,0.0,,,,,industrial:not_found; refinery:not_found; powerplant:not_found; mine:query_failed; gas_facility:query_failed; road:ok,osm_partial_failure,,,data_invalid
FIRMS_1A046E396D,343.24,11.04,,day,,,,,,,0.0,,,,,15.01,74.37,10.31,0.29,0.0,0,0,0,,,,0,0.0,,,,,industrial:not_found; refinery:query_failed; powerplant:query_failed; mine:query_failed; gas_facility:query_failed; road:query_failed,osm_partial_failure,,,data_invalid
FIRMS_B9165ECFA6,348.3,6.2,,day,,,,,,,0.0,0.0,0.0,,,6.24,88.44,4.96,0.35,0.0,1,1,1,4.05,4.05,328.22,1,0.0333,2.15,1.5309,20.08,1.0612,industrial:not_found; refinery:not_found; powerplant:not_found; mine:query_failed; gas_facility:query_failed; road:query_failed,osm_partial_failure,,,data_invalid
FIRMS_5131E76E89,334.62,1.33,,day,,,,,,0.0295,0.0,,0.0,0.0,,7.7,84.61,5.9,1.79,0.0,1,1,1,3.19,3.19,328.29,1,0.0333,-1.86,0.4169,6.33,1.0193,industrial:not_found; refinery:query_failed; powerplant:not_found; mine:not_found; gas_facility:query_failed; road:ok,osm_partial_failure,,,data_invalid
FIRMS_DB73794659,342.93,3.55,,day,,,,,,0.5017,0.0,,0.0,,0.0,10.88,79.86,9.19,0.07,0.0,0,0,0,,,,0,0.0,,,,,industrial:not_found; refinery:query_failed; powerplant:not_found; mine:query_failed; gas_facility:not_found; road:ok,osm_partial_failure,,,data_invalid
FIRMS_47CAD69CC1,332.41,3.02,,day,,,,,,,0.0,0.0,0.0,0.0,,11.36,78.08,10.51,0.05,0.0,0,0,0,,,,0,0.0,,,,,industrial:not_found; refinery:not_found; powerplant:not_found; mine:not_found; gas_facility:query_failed; road:query_failed,osm_partial_failure,,,data_invalid
FIRMS_3CC7C2C1EF,347.73,4.54,,day,,,,,,,,,0.0,0.0,0.0,9.66,80.61,4.25,5.44,0.0,2,4,4,8.7825,12.45,344.16,2,0.0667,-4.2425,0.5169,3.57,1.0104,industrial:query_failed; refinery:query_failed; powerplant:not_found; mine:not_found; gas_facility:not_found; road:query_failed,osm_partial_failure,,,data_invalid
